Model,span,width,Y,girders,girderspacing,numberofdiaphragms,haunch,numberofgirders,minendmoment,maxendmoment,maxmoment,maxZreaction,minZreaction,maxXreaction,minXreaction,mindeflection,Kg,df,df1,df2,LR1,LR2
TX_30_65_P04,65,30,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7,4,2,5,-6366.337314,102550.0564,4355464.222,13679.42694,-2483.977455,3.37E-09,-4.36E-09,-0.363650998,261489.3248,0.586847283,0.433031494,0.586847283,0.428571429,0.51636112
TX_30_65_P05,65,30,43,"[0.75, 12, 0.75, 12, 0.5, 31.5]",7,4,2,5,-3548.925254,97340.18797,4308134.556,13650.6786,-2691.625803,7.94E-09,-4.20E-09,-0.452568577,185579.1877,0.569592962,0.42045664,0.569592962,0.428571429,0.501179214
TX_30_65_P06,65,30,45.62,"[0.75, 12, 0.875, 12, 0.5, 34]",7,4,1.995,5,-15427.23973,120137.0953,4383367.559,13482.92527,-2581.855354,3.84E-09,-4.24E-09,-0.377930679,236480.6125,0.5817276,0.429300297,0.5817276,0.428571429,0.511856362
TX_30_65_P07,65,30,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7,4,2,5,-8561.233664,104700.1817,4406453.53,13539.9684,-2488.840854,2.62E-09,-1.06E-09,-0.310860076,295778.7071,0.593193184,0.437656352,0.593193184,0.428571429,0.521944816
TX_30_65_R01,65,30,32.38,"[21, 166]",7,4,3.38,5,-153.9552815,94347.72216,4170278.416,13930.33636,-2648.289767,7.54E-09,-5.60E-09,-0.527477921,129000.5443,0.551929471,0.407583584,0.551929471,0.428571429,0.485637283
TX_30_65_R02,65,30,34.5,"[24, 131]",7,4,2.5,5,-122.8827943,91496.75001,4151798.057,13900.66721,-2765.76933,5.75E-08,-2.02E-08,-0.580612561,108733.0103,0.543847006,0.401693128,0.543847006,0.428571429,0.478525602
TX_30_65_R03,65,30,37.25,"[27, 146]",7,4,2.25,5,-2282.994433,96900.45219,4253483.456,13814.02376,-2624.588736,6.47E-09,-2.77E-08,-0.46962499,138803.4952,0.555435451,0.410138723,0.555435451,0.428571429,0.48872216
TX_30_65_R04,65,30,40.75,"[30, 173]",7,4,2.75,5,-6213.517739,103143.4624,4355052.757,13743.06055,-2436.785058,6.40E-09,-1.27E-08,-0.352446215,198891.02,0.573031168,0.422962385,0.573031168,0.428571429,0.504204458
TX_30_65_R05,65,30,43,"[33, 118]",7,4,2,5,-3705.252332,97879.61753,4317996.066,13675.30869,-2668.899418,6.03E-09,-7.95E-09,-0.437419231,142819.1041,0.556807589,0.411138729,0.556807589,0.428571429,0.48992949
TX_30_65_R06,65,30,45.62,"[36, 135]",7,4,1.62,5,-15395.53658,120860.1281,4395561.362,13534.94425,-2549.425242,3.40E-08,-2.19E-08,-0.367302032,179983.6227,0.568081041,0.41935476,0.568081041,0.428571429,0.49984889
TX_30_65_R07,65,30,48.25,"[40, 149]",7,4,0.25,5,-15902.63699,122149.2426,4445868.3,13524.19695,-2487.66349,3.76E-08,-1.61E-08,-0.328697244,209042.6387,0.575516609,0.424773761,0.575516609,0.428571429,0.506391372
TX_30_70_P01,70,30,35.12,"[1.125, 12, 1.5, 12, 0.5, 22.5]",7,4,1.995,5,-11567.76716,114287.8164,4545141.587,13640.98749,-2819.998556,3.82E-09,-2.40E-09,-0.641467381,172619.5361,0.555176203,0.407353177,0.555176203,0.428571429,0.48849405
TX_30_70_P02,70,30,37.25,"[0.75, 14, 1, 14, 0.5, 25.5]",7,4,2,5,-92.6794757,91442.18225,4511918.086,13741.35009,-2876.125327,4.38E-09,-3.28E-09,-0.62125562,168798.17,0.554102473,0.406576454,0.554102473,0.428571429,0.487549285
TX_30_70_P03,70,30,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7,4,2,5,-4924.927088,99464.33321,4662374.526,13640.66228,-2652.238116,6.54E-09,-5.31E-09,-0.446017025,261489.3248,0.575537978,0.422082618,0.575537978,0.428571429,0.506410175
TX_30_70_P04,70,30,43,"[0.75, 12, 0.75, 12, 0.5, 31.5]",7,4,2,5,-1429.189146,93869.41151,4605395.251,13627.42254,-2850.828636,5.76E-09,-4.58E-09,-0.554943814,185579.1877,0.558664894,0.40987685,0.558664894,0.428571429,0.491563715
TX_30_70_P05,70,30,45.62,"[0.75, 12, 0.875, 12, 0.5, 34]",7,4,1.995,5,-15092.72269,118205.7866,4694096.254,13452.39297,-2728.776931,8.02E-09,-6.29E-09,-0.463952789,236480.6125,0.570531415,0.418460936,0.570531415,0.428571429,0.50200495
TX_30_70_P06,70,30,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7,4,2,5,-7363.658273,101900.9794,4723032.266,13499.70231,-2645.428921,2.66E-08,-4.22E-08,-0.381818213,295778.7071,0.581743666,0.426571732,0.581743666,0.428571429,0.511870499
TX_30_70_R01,70,30,35.12,"[24, 162]",7,4,3.12,5,-140.122634,93073.69229,4514593.795,13826.20998,-2781.650262,1.64E-08,-4.29E-08,-0.583387635,143840.9338,0.546498036,0.401075504,0.546498036,0.428571429,0.480858217
TX_30_70_R02,70,30,37.25,"[27, 146]",7,4,2.25,5,-118.6258321,93176.60244,4542456.24,13783.80245,-2801.990412,1.91E-08,-2.04E-08,-0.577479827,138803.4952,0.544820193,0.399861775,0.544820193,0.428571429,0.479381899
TX_30_70_R03,70,30,40.75,"[30, 173]",7,4,2.75,5,-4801.786504,99920.8341,4660414.559,13697.60369,-2614.365709,5.55E-06,-3.36E-06,-0.434503032,198891.02,0.562027132,0.412309049,0.562027132,0.428571429,0.494522115
TX_30_70_R04,70,30,43,"[33, 118]",7,4,2,5,-1598.292085,94313.34612,4615264.542,13646.24333,-2832.377631,6.19E-09,-1.13E-08,-0.53848593,142819.1041,0.546162014,0.40083243,0.546162014,0.428571429,0.480562554
TX_30_70_R05,70,30,45.62,"[36, 135]",7,4,1.62,5,-15129.70673,118839.8071,4705609.891,13498.96117,-2705.192576,9.45E-08,-1.15E-07,-0.453136051,179983.6227,0.557186378,0.408807311,0.557186378,0.428571429,0.490262784
TX_30_70_R06,70,30,48.25,"[40, 149]",7,4,0.25,5,-15821.45739,120226.4123,4762465.936,13483.77951,-2645.634001,1.20E-07,-6.80E-08,-0.405856925,209042.6387,0.564457657,0.414067259,0.564457657,0.428571429,0.49666071
TX_30_75_P01,75,30,35.62,"[1.375, 12, 1.75, 12, 0.5, 22.5]",7,4,1.995,5,-11665.41762,113800.0399,4876047.143,13608.81413,-2889.923432,1.64E-08,-1.35E-08,-0.698249603,200869.7928,0.552477138,0.403014952,0.552477138,0.428571429,0.48611917
TX_30_75_P02,75,30,37.62,"[0.875, 14, 1.25, 14, 0.5, 25.5]",7,4,1.995,5,-12314.03643,114156.7392,4904255.023,13551.02602,-2896.121757,1.08E-08,-4.38E-09,-0.672978874,202401.5826,0.552840008,0.403275634,0.552840008,0.428571429,0.486438456
TX_30_75_P03,75,30,40.75,"[1, 15, 1.25, 15, 0.5, 28.5]",7,4,2,5,-3218.734615,96393.60397,4962541.427,13610.02993,-2801.758727,5.62E-09,-4.46E-09,-0.539219648,261489.3248,0.565237485,0.412181861,0.565237485,0.428571429,0.497346873
TX_30_75_P04,75,30,43,"[0.75, 12, 0.75, 12, 0.5, 31.5]",7,4,2,5,-107.8552726,90435.49786,4895186.407,13613.63054,-2991.03136,5.59E-09,-1.12E-08,-0.670555926,185579.1877,0.548711629,0.400309846,0.548711629,0.428571429,0.482805935
TX_30_75_P05,75,30,45.62,"[0.75, 12, 0.875, 12, 0.5, 34]",7,4,1.995,5,-14523.19386,116309.3775,4998101.318,13430.12287,-2859.100648,2.05E-09,-5.36E-09,-0.561369428,236480.6125,0.560333951,0.40865921,0.560333951,0.428571429,0.493032302
TX_30_75_P06,75,30,48.25,"[0.75, 12, 1, 12, 0.5, 36.5]",7,4,2,5,-5896.652643,99104.67941,5033606.833,13467.15726,-2783.061303,7.96E-09,-6.03E-09,-0.462282646,295778.7071,0.571315467,0.416548225,0.571315467,0.428571429,0.502694829
TX_30_75_R01,75,30,35.62,"[24, 192]",7,4,3.62,5,-346.4210992,93647.84469,4861358.006,13770.90775,-2818.43834,7.25E-08,-5.42E-08,-0.605370523,178604.5329,0.546900423,0.399008693,0.546900423,0.428571429,0.481212273
